idx,class,conversation
3335,갈취 대화,"야 형이 돈이 없어서 그런데 돈 좀 내놔라
아니 그러지마세요
이놈이 내놓으라 할때 내놔
죄송해요
아니 뭐 이런 거지가 다 있어? 야 안되겠다 너 이놈 시계라도 내놔라
아니 돈없는데 왜 또 뺏어요 제발 그만해 주세요
나 이대론 못돌아가 가진거 다 내놔!
그만해 주세요
어쭈 돈은 없는데 부모님 신용카드를 빌리고 있었구나
저 이제 가도 되죠
아니 넌 따라와 니가 부모한테 말해서 부모님 신용카드 분실신고를 하면 나 카드 사용 못하니까
저 가고 싶어요 제발"
3336,직장 내 괴롭힘 대화,"자 이번 회사에 입고 갈 단체 티 나왔으니까 다들 사이즈 확인해서 가져가
어 저기. 사장님 저 옷 안가져갔는데 제 옷이 없는거 같습니다.
없다고? 야 조대리 니가 그 옷을 왜 가져가?
제 사이즈에 맞춰서 가져간건데요. 저 사이즈 주문했어요.
이번 워크숍에 입고갈 네 티 없어. 그거 빨리 김과장한테 줘.
네.? 단체티 아닌가요? 왜 제 옷만 없나요?
왜 굳이 회사 돈 드려서 조대리 옷을 맞춰줘야 하나? 뭐가 예쁘다고? 그냥 사복입고와.
저만 사복이면 조금 그렇지 않습니까. 그리고 저 돈도 냈는데요.
그래서? 만 원이 그리 아깝나? 조대리가 가져가는 월급만큼 일하는거 아니니 그런 사소한 돈으로 아까워 하지마. 쪽팔리면 워크숍 오지 말던가. 그게 우리 회사에 더 도움이 될거야.
제가 이거 직장 따돌림으로 신고할겁니다.
증거는 있나? 옷이야 뭐 주문 잘못 넣었다고 하면 되지. 그렇게 틀에 박혀 살지마. 그니까 이렇게 따돌림당하는거 몰라?"
3337,갈취 대화,"잠깐 조용히 뒤 돌아서 골목으로 와. 튀면 재미 없을 줄 알아.
네? 저요?
그래 너. 얼른 조용히 눈 내리 깔고 와.
왜 그러세요 언니.
너 지금 가지고 있는 돈 다 꺼내봐.
저 얼마 없어요. 교통카드밖에 없어요.
거짓말 치지마. 니 가방 다 뒤져보는 수가 있어.
정말이에요. 3만원 있는 게 다예요.
에게? 그게 다야?
네 정말 이게 다예요."
3338,협박 대화,"당신들 이 이야기 발설하면 내가 어떻게 해서든 죽여버리고 말거야.
부당한 일이니 세상에 알려야겠습니다.
그래. 어떻게 해서든 죽일 수 있으면 죽여봐. 내가 이걸 세상에 알려서 당신이 먼저 죽게할테니까.
이 미친새끼들이 진짜 돌았나.다같이 죽자는거야? 당신들만 입 다물면 우리 아무일 없다는 듯이 살 수 있어.
그렇게는 안되겠네요.
우리가 입 다물면 그 일은 어떻게 되겠어요?
그냥 두 눈 감고 두 귀 닫고 죽은듯이 살아. 그러면 돼.
가슴에 손을 얹고 생각해봐. 이게 옳은 일인지.
이새끼가 진짜 미쳤나. 너 쥐도새도 모르게 죽을 수 있어. 내가 니 밥에 약 타서 너 하나쯤 골로가게 하는건 일도 아니야.
어디 할 수 있으면 해 봐."
3339,갈취 대화,"우와 이거 진짜 멋지다. 나도 18까지 밖에 없는대.
그지 이거 완전 멋있지. 이거 24이야
부럽다. 나도 그정도 능력 있으면 바꾸고 싶다.
그래? 나한테 줘봐 내가 나중에 내껏처럼 24로 가져다 줄게?
응? 아냐 괜찮아 이거 우리 아빠가 나 응원해주려고 큰맘 먹고 주신거라 이것도 만족해.
머래 주라고 좋은거 바꿔준다고 해도 난리야
아니야 진짜 괜찮아 마음만 받을게
야 내가 호의를 베풀면 감사합니다 하고 줘야지 머하냐 빨리 안내놔
아니 괜찮다니까 내가 괜찮다고.
아놔 이게 장난하냐 야 바꾸고 머고 니꺼 없애게 내놓으라고 빨리 안가져오냐
싫어. 이거 아빠가 주신 선물이야.
아빠 어차피 모르니까 좋은말로 할 때 내놔라."
3340,직장 내 괴롭힘 대화,"이봐 땡땡씨 이거 모야?
말씀하신 자료 피피티 인데요
아니 누가 그걸 몰라? 왜 보고자이름을 내이름으로 안했냐구
제가 초안부터 결과지까지 다 한건데요
직장생활 초보 티내? 당연히 관리자 이름을 달아야지
제가 한달동안 고생해서 준비한건데요
말이 안통하는구만 나중에 인사고과 바닥치고 싶어?
아니 그게 아니구요
승진에서 밀리고 한직으로 날아가구 싶음 알아서해
죄송합니다 제가 생각이 짧았습니다"
3341,협박 대화,"누구냐 넌
난 사이코패스야
카.칼?
날 보고 두려움에 떠는 여자들을 보는 게 좋아
가까이 오지마
어떻게 죽여줄까
돈을 모두 줄게
필요 없어 난 널 죽이는 게 좋아
살려줘
소리 지르는 소용없어 널 죽여버리겠어
으악 이러지마"
3342,직장 내 괴롭힘 대화,"민철씨 내일에 무슨 약속 있어요?
 아니요 없습니다.
그래요? 잘됐다 그럼 연차 취소할게
네? 왜 그러십니까?
아니. 내일 급하게 사장님 오신대. 우리의 열정을 보여줘야지.
네? 사장님이 오시는거랑 제가 쉬는 거랑 무슨 상관이 있다고. 저를.
우리팀의 열정을 보여주는데 민철씨가 쉴 순 없지.
그래도 사장님 오시는거 알기 전에 제가 연차 신청을 했으니 쉬는게 맞지 않을까요?
뭐라고? 지금 장난해 회사 잘리고 싶어? 사장님 오신다고
아니요. 갑자기 이러는 것은 부당한거 같습니다."
3343,갈취 대화,"내가 돈이없어서 집을 못가고있는데 택시비좀 줘봐
 무슨소리에요
 달라고 하면 내놔 거지새끼야
 경찰서 갈거에요 저리가세요
 경찰이 널 도와줄것 같아? 그 전에 널 패버릴거야
 돈 주기 싫어요
 안주면 널 끝까지 따라가서 받아낼거야
 싫다니까요 저리가세요
 너 이 앞 학교 다니는 대학생이지? 돈 안주면 너희학교에 맨날 찾아간다
 신고할거에요"
3344,갈취 대화,"폐수를 몰래 버린거 알고 있다.
 무슨 말씀이신지.
 긴말 말고 사진도 동영상도 있으니 알아서 하셔
 무슨 사진을?
 오케이 모른 척 좋아. 1시간 후 유투브를 통해서 만나자고.
 여보세요??? 찬찬히 말씀을 해보자고요
 동영상 원봉 줄테니까 10억 준비해
 아니 뭔 사진인지 봐야 말씀을 드릴거 아닙니까
 꼼수 쓰지 말고. 오늘 자정까지 시간 줄테니 알아서나를 찾아보고 너희 협상안을 갖고 와"
3345,기타 괴롭힘 대화,"야 김지용 이리 와봐.
왜. 곧 쉬는 시간 끝난단 말이야. 수업 준비해야 돼.
이게 요새 안 맞았더니 감을 잃었구만.
그러게 이게 정신 나갔나. 오라면 바로 튀어와야지.
빨리 안 와?
알았어 갈게. 때리지는 마.
그건 너 하는 거 봐서 결정할 일이지. 지금 당장 매점 튀어가서 빵 두 개 사 와.
나는 피자빵이다. 알지?
어. 곧 수업 시작하는데.
그러니까 더 빨리 뛰어갔다 와야지. 안 그래? 아님 조금 맞고 갈래?
아냐 얼른 갔다 올게."
3346,협박 대화,"우리 헤어져
 왜?
 너가 너무 집착이 심해서 너무 힘들어
 무슨 소리야 난 널 사랑해서 그런거야
 착각하지마 그건 사랑이 아니야
 어떻게 너가 나한테 그럴수있어 ? 꼭 그래야만하겠어?
 응 이건 너와 날 위해서 하는 결정이야
 진짜 헤어지면 나 여기서 뛰어내릴거야
 뭐라고? 너 지금 제정신이야?
 날 살리고싶으면 헤어지면 안되지!"
3347,직장 내 괴롭힘 대화,"어휴 서주임님. 일을 이렇게 하시면 어떡해요. 
네? 무슨 말씀이시죠? 
이 데이터 이렇게 취합해두면 저희 측이 보기 힘들잖아요.
네? 전에 하시던 분 께서도 이렇게 해두셨고 저는 양식에 따라 했을 뿐이에요.
그때는 그때구요. 지금은 시스템이 바뀌었는데 이렇게 하시면 저희가 불편하다구요.
하지만 그러한 방식은 너무 시간이 오래 걸릴 뿐 더러 저는 그 팀에서 어떠한 시스템을 차용하는지도 모릅니다. 들은 말도 없구요.
직장에서 따박따박 이렇게 말대꾸 하시는거 이제까지 아무도 안고쳐주셨어요? 저희 측에서 불편하니까 고쳐서 달라구요!
네 .
내일까지 고쳐서 주세요 .
알겠습니다."
3348,직장 내 괴롭힘 대화,"사장님 산에 오랜만에 오니 운동도 하고 시원하죠 그리고 따뜻한 믹스 커피 한잔 하실래요?
야 됐고 카페라테 준비 안해왔어? 이 자식이 빠져가지고
네? 이 산에서 어떻게 라테를 준비를 하죠?
자네 그걸 일일이 설명해줘야 하나 직접재료를 가져와서 여기서 라떼를 만들라고
사장님 사람도 많은데 조용히 하시고 나중에 카페에가서 사드릴.
시끄러 자네 이 산에서 정리 해고 당하고 싶나? 어디서 감히 조용히 하라마라야
죄송합니다. 일단 내려가서 카페로 가시죠
꺼져
네? 
자네 귀없나 지금 이 자리에서 해고란 말일세"
3349,협박 대화,"야. 카톡방에서 내얘기하지마
왜? 뭐가무섭대? 내맘이지?
그래? 그럼 나도 인스타에 니가쓴글 캡쳐뜨고 언론사에 고발할꺼야
그래? 그래라 난 이 카톡방에서 니 신상 거짓말 협박 다 탈탈 털어버릴테니까
아 인스타에 퍼트리고 경찰에 신고할꺼야 딱 기다려라.
그래 그럼 다같이 죽겠네. 다 같이 죽어버리자. 너는 내가 아주 고통스럽게 죽이고 갈테니까.
무슨 말을 그렇게 해
해볼테면 해보라고
미친 놈 아냐."
3350,기타 괴롭힘 대화,"당신 생각이 있는 사람이야 없는 사람이야 어?
왜 나한테 그래요! 내가 뭘 잘못했다고.
아니 어떻게 모임사람들 만나는 자리에 옷을 그 따위로 입고 나올 생각을 해?어?
이 옷이 뭐 어때서요? 옛날엔 이쁘다고 해줬잖아요!
야 참 니가 10년전이랑 똑같아? 얼굴은 주름이 자글자글해서 어? 다른 집 와이프들은 관리만 잘하고 다니더라. 어휴
내가 관리를 안한다구요 ?
야 이거 이거 봐라 옷 터질라고 한다. 옷이 안쓰럽지도 않아? 
당신 왜 이렇게 변했어요?
니가 여자냐? 집에서도 좀 갖춰입고 말야 그런 모임을 간다고 했으면 샵이라도 좀 가고 그러라고. 이 답답한 여편내야!
당신이 맨날 돈도 못벌어 오면서 쓰기만 한다고 하니까.!! 나는 아끼려고 하는 거잖아요.!
니가 이쁘면 내가 그런 말을 하겠냐? 아주 퍼다주지. 다 근데 니가 그렇게 생겨먹었는데 내 피같은 돈 쓰는게 얼마나 아깝겠냐.쯔쯧."
3351,협박 대화,"어이 저번에 겜장에서 나 본거 기억하쇼?
살.살려주세요.
아니 그러게 돈을 빌렸으면 갚을것이지 왜 숨어살어?
그. 갚을려고했으나 돈이 안모아지는데 어쩌겠습니까.
돈이 안모아지면 길바닥에서 구걸이라도 해야지 숨어산거면 갚을 맘도 없던거잖아?
아고 오해입니다요. 정말 갚을려고 했는데.!
에이씨!! 나랑 말장난 해? 아주그냥 장기 다 털려야 정신차리지?
끄아아!! 잘못했습니다.잘못했어요 더시는 안그럴게요 구걸이라도 열심히 하겠습니다!!
야? 두번은 안봐줘. 그땐 니 장기뿐만 아니라 가족 친척 등등 니 주변 사람들 장기 다 털릴 각오하라
아. 알겠습니다. 제발 제 목숨만은 살려주세요."
3352,직장 내 괴롭힘 대화,"내일 혹시 어디가나?
네? 아. 제가 약속이 있어서
근데 월차 취소하는게 어떨까? 내일 회의 잡게
아 미리 말씀하시지. 정말 죄송해요. 제가 내일 약속이 있어서
뭐? 내일 회의 잡는다니가 월차 취소할게.
정말 죄송합니다. 부장님 진짜 안될 것 같아요.
승민씨 입사하자마자 회사에서 잘리고 싶어?
아니요. 그건 아닌데. 정말 사정이 있어서.
승민씨 회의가 잡히면 승민씨는 회의에 맞게 월차도 취소하고 그러는거야 암튼 취소할게.
부장님 그건 안될 것 같습니다."
3353,직장 내 괴롭힘 대화,"자네 면접 볼 때 나랑 만났지 않았는가?
네 맞습니다.
그때는 사람 참 성실해 보였는데 말이야
지금도 열심히 하고 있습니다
퇴근시간 되면 딱 퇴근하고 우린 뭐 갈 집이 없는 줄 알아?
주신 업무 다 끝내고 퇴근하는 겁니다
말대꾸까지 하는군
죄송합니다.
나 때는 말이야 상사가 퇴근 안 하면 아무도 안 했어
네 더 주의하겠습니다."
3354,갈취 대화,"야 나 돈좀 빌려주라
어? 저번에 빌린것도 안갚았잖아.
그건 그거고 나 지금 급히 필요해서 그래
이번엔 힘들거같아.
너 진짜 이럴래? 너 나 앞으로 계속 봐야할텐데. 감당 가능하겠어?
얼마가 필요한데.
1000만원만 빌려줘
나 지금 그정도 돈 없어.
그럼 지금 대출이라도 받아서 빌려줘. 나 지금 대출이 안돼
그게 무슨 소리야."
3355,기타 괴롭힘 대화,"와 너 바지에오줌쌋니?
 아 그런거아니야
그런거 아니긴 위치가 딱인데
이거는 아까 우유를 흘려서
야 오줌싸놓고 민망하니까 우유 핑계대는거아니냐?
그런거아니야
아니면 손이 병신이기라도해?
뭐?
우유가 왜미끄러져 
말이 심하다."
3356,기타 괴롭힘 대화,"야 너 화장 왜그러냐
응? 왜 ? 이상해??
입술색 너랑 안어울려
아 그래.? 나한테 어울리는거 같아서 샀는데.
너보다 내가 잘 어울릴거 같은데 내가 너보다 훨 이쁘잖아 안그래?
아.그렇긴한데.많이 이상해?
응 존나 이상해
친구여서 솔직하게 말하는건데 나쁘게 듣지마 너 지금 하고다니는 화장도 이상하고 특히 그 립 진짜 안 어울려
호박에 줄 긋는다고 수박 되니? 그렇게 꾸민다고 못생김이 어디가니?
말이 너무 심하잖아."
3357,직장 내 괴롭힘 대화,"씨 보고서 작성완료 했나요?
 네? 그거 2시간 전에 주시지 않으셨나요.?
 2시간이나 지났어? 그럼 완성 되야지 아직도 안했나?
 기한이 급한지 몰랐습니다 최대한 빨리 하겠습니다
 그럼 1시까지 해서 내 책상에 올려놓도록 하세요
 네? 그러면 점심시간은.
 그러게 진작 빨리빨리 해놨어야지 뭐했나요?
 미리 기한을 말씀해주셨으면 빨리했을텐데요.
 지금 내탓하는건가?
 아 아닙니다."
3358,기타 괴롭힘 대화,"너 저리 좀 가서 앉아 움직이지 좀 마 냄새나
나 .냄새나 .?
어 너 안 씻고 다니냐? 냄새나 더러워
나 오늘도 씻었는데 .
씻은애가 그렇게 냄새난다고? 아 하긴 . 엄마가 없으니 
.아
엄마가 없으니 너가 더 잘 씻고 다녀야지 안그럼 너 고아인거 티내고 다니는거야
.그건 .
꼭 엄마 없는 것들이 고아인 티 내더라 좀 신경 좀 써
.아.알았어"
3359,직장 내 괴롭힘 대화,"여기 내 책상에 손 댔어?
아니요. 전 일만하고 있었는데요.
지금 여기 너와나 둘 뿐인데 내 책상은 어질러져있고 돈도 없어졌네.
전 절대로 가져가지 않았어요.
너 혹시 전과있니?? 대학은 나왔어?
저 정규대 나오고 .
대학에서 남의돈 훔치라고 배웠어요?
절대로 그런짓 안했어요.
그럼 돈이 발이 달려 도망이라도 갔대? 보자보자하니까 평소에도 손버릇이 나쁘더니 결국 내돈까지 
 보시면 아실거예요.전 아니예요.
저게 또 고장난거 까지 아네."
3360,직장 내 괴롭힘 대화,"어머 지욱씨. 가을이라고 멋 좀 부렸네?
아 네!
아 근데 옷 빨아입은 가 맞아? 퀘퀘한 냄새가 나. 
아 그런가요.? 어제 빨은건데.
그리고 명색이 디자이너인데 패션 센스가 좀 촌스럽다 
죄송합니다.
사무실 막내면 막내답게 좀 화사하게 안될까? 색감이 칙칙해서 누가 20대로 보겠어 
다음엔 밝은 색으로 맞춰 입고 오겠습니다.! 
그래그래. 우리가 자기 밖에서 망신당하지말라고 해주는 말인 거 알지? 
넵 압니다."
3361,기타 괴롭힘 대화,"너 성이 왕씨야?
응.
왕씨면 중국사람아니야? 짱깨짱깨
뭐라고?
아니 짱깨가 원래 중국음식 맞잖아
그래도 그런 표현을 면전에 대놓고 하는건 좀 그렇다
뭐가 그렇게 그렇고 그러실까?
그리고 나는 한국국적이야
야니가 무슨 한국사람이야! 니네나라로 돌아가라 짱깨!짱깨는 사라져라사라져라 우리나라 물 흐리지 말고 사라져라 사라져라
.너무하다 너"
3362,직장 내 괴롭힘 대화,"그 이야기 들었어??
뭔데뭔데 무슨일이야?
아니 인사팀에 있는 박대리가 부장님 욕하다가 걸렸다잖아
우와 어쩌다가 걸렸다니?
커피마시다가 동료랑 이야기하다가 들었다더라 왜 남의 욕을 하고 다니는지
박대리도 참 별로다
그러게 항상 입조심해야하는데
크흠!! 지금 제 이야기 하시는 건가용?
아.그게 아니고.
님들도 똑같네요 왜 사람없는곳에서 뒷담하세요 정말 짜증나네요
죄송합니다."
3363,기타 괴롭힘 대화,"야 너 혼잣말 하지 말라니까
병원에서 너 진단명이 뭐냐
맨날 다쳐서 병원에 돈이나 갖다주고 병원 부자 만드니?
너한테 무슨 말을 못하겠다.
했던 말 그만해 맨날 똑같은 말 반복 지겹다니까
알겠어 내가 잘 몰라서 그랬어
야 너는 뭐가 잘났길애 다른 사람한테 그런 말을 하냐
너만 보면 예전의 누가 생각나 아주 똑같이 생겼어
그게 누군데
됐어 꼴보기 싫어 내 눈 앞에서 꺼지라니까
내가 촛불이냐 자꾸 꺼지게"
3364,직장 내 괴롭힘 대화,"너 이거 왜이리 못해? 몇번을 말해야 알아먹어? 
죄송해요
맨날 죄송하다는 말만하니
죄송합니다
나 참.
앞으로 조심할께요
맨날 같은 소리.지겨워
앞으로 정말 조심할께요
입만 살아가지고 
죄송합니다"
3365,갈취 대화,"이번에 한번만 빌려주면 다시는 연락안할께
저번에도 힘들게 마련해 드렸는데 무리입니다
머라고 지금 머라는거야 저승사자 만나러 갈테야?
저번에도 너무 어렵게 준비했던 것인데 이번만은
정신못차렸네??? 제삿밥 먹고 싶어??
진짜입니다 이번에 그냥 다른곳에 알아보세요
제사밥 멀로 먹여줄까?? 가족들 피눈물 흘리게 해줘???
안됩니다 가족만은 안됩니다
그럼 할수있자나 능력되자나 해봐 가족들 생각해서 말야
이번이 진짜 정말 마지막입니다 부탁드립니다"
3366,기타 괴롭힘 대화,"너 왜 이렇게 못생겼어? 박명수 같아.
 하지 마.
 박명수보다 못생겼다.
 하지 말라고.
 너 거울은 어떻게 보냐? 거울 깨버리고 싶지 않냐?
 네가 상관할 바 아니잖아.
 너 그렇게 생겨서 너네 엄마도 너 싫어하겠다.
 너 그렇게 말하는 거 너희 어머님도 아시니?
 네가 알 바냐?
 한 번만 더 그러면 신고할 거야.
 너 못생겨서 신고도 안 받아 줄 듯."
3367,기타 괴롭힘 대화,"엄마 내가 시아 언니방에서 재밌는 노트 발견했어!
뭔데 엄마 보여줘봐 '남자친구랑 오늘 헤어졌는데 세상이 무너지는 기분이었다' 야 이게 뭐냐 제 중이병 온 거 아니야? 여보 이거 좀 봐바
오메 우리딸 사춘기 왔나보네 귀엽게 노네 뒷장도 읽어봐.
엄마 아빠? 지금 뭐 보고 있는거야? 그거 내 일기장 아니야?
언니 내가 보라고 가져다 줬어! 언니 근데 일기장 뭐야 진짜 웃겨 세쉥이 무눠쥐는 기분이오따 
내 프라이버시를 그렇게 마음대로 훔쳐봐도 되는거야? 내가 일기장 남들 보라고 쓴 줄 알아? 왜 맘대로 봐? 그리고 왜 마음대로 내 방 들어오냐고 일기보면서 다같이 히히덕거리니까 좋아?
딸 왜 그렇게 예민하게 굴어 재밌구만 뭘 알겠어 딸 다음부터 안 볼게 됐지? 근데 남자친구랑 왜 헤어졌어?
그러게 우리 첫째딸 왜 헤어졌어 우리 딸 같은 여자 만나기도 힘들겠구만.
봐봐 다 읽었네. 진짜 화난다. 남의 일기 막 읽으면 좋아? 나 진짜 찾지마. 내일까지 집에 안 들어 올거야.
딸 남이 뭐야 부모님한테 니 똥귀저기 다 갈아주고 했는데 읽을 수도 있지. 뭘 그렇게 예민하게 굴어
그러게 아가 아유 못 본척 할게 화 풀어 혹시 남자친구랑 헤어져서 기분 안 좋아서 그래?"
3368,갈취 대화,"너네 엄마 목걸이는?
 없어. 못 찾았어.
 이 새끼 봐라. 구라 치지 마.
 진짜야.
 없으면 사오기라도 해야지 뭐 하는 거냐?
 나 돈 없어.
 목걸이 대신 네 목 따 버릴 거야.
 어떻게 그런 말을 해. 정말이라니까.
 내일까지 기회 줄 테니까 찾아와.
 알겠어."
3369,협박 대화,"보육원 선생님 맞으시죠? 선생님 저 은희예요. 저 찾을 생각하지 마세요. 안 돌아갈거니까
은희야 너 우리 아니면 지금 당장 잘 곳도 못 찾아. 부모님 찾았다고 정부 지원 끊어버릴까? 당장 안 돌아오니?
전 거기서 구더기 밥 먹고 상한 우유 먹으면서 생활 못해요. 학교 가서 친구들 얘기 들어보면 다 맛있는 밥 먹고 다니는데 .
그래서 뭐 어쩌려고? 학교 친구들 집 가서 밥 달라 하려고? 넌 어쩌피 여기 다시 오게 되어있어. 애들이 놀아줘서 뭐가 된 줄 착각하나 본데 빨리 돌아와라.
저 지금 경찰에 신고하러가는 중 이에요. 맨날 밥 잘 먹이는 척 하면서 돈 다 가셨잖아요.
너 그거 아냐? 우리 보육원 애들이 왜 밥만 먹으면 잠 잘자는지? 이렇게 배신하고 탈출할 줄 알고 수면제 타 놨지. 너도 이제 곧 쓰러질거야 그때 만나자.
저도 대충 눈치채서 밥 안 먹었어요. 이것도 다 녹음 했으니까 감옥 갈 각오하세요. 애들 밥 가지고 장난 치시면 안되셨다는걸 뼈 저리게 느끼시길 바랄게요.
혼자 착각이 심하네. 너 얘기를 누가 들어줄거 같니? 몇 년간 사회적으로 인정받은 내 말은 믿겠어 아니면 너 말을 믿겠어? 생각 잘 하고 움직여.
녹음한거 있으니까 괜찮아요. 저 이제 더 이상 못 참아요.
그래 참지말고 잘 숨어있으렴. 보이는 즉시 우리 보육원에서 니 밥으로 나간 돈 너 장기 팔아서 마련할거니까. 기대해도 좋을거야. 너 가출신고 하면 한 번에 찾을 수 있는거 알지? 조만간 꼭 만나자. 그때쯤이면 너도 몸 안은 다 비워져 있겠지만."
3370,직장 내 괴롭힘 대화,"진호씨 오늘 저녁에 뭐해?
저오늘은 별일없습니다
그럼 오늘저녁 회식참석해요
죄송합니다 제가 술을 잘못해서요
그런게어딨어 원래마시면서 느는거야술은
정말죄송합니다.
정말 이럴꺼야 좋게봤는데 안되겠어?
부당합니다 이건 너무
내일부터 아주힘든 직장생활이될거야
죄송합니다 참석할게요"
3371,갈취 대화,"가진 거 다 내놔
뭐래는거야 이 사람이
지금 내말 안들으면 후회할텐데
왜 그러세요 무섭게
와 많이도 들고 다니네 학생이 이렇게 돈이 많아?
제발요 그거 우리가족 한달 생활비에요
 너 지금 이거 안 내놓으면 우리한테 맞아 죽을지도 몰라 좋은말할때 꺼져
제발 돌려주세요."
3372,기타 괴롭힘 대화,"야 ! 대답안하냐 ? 안들리냐 ?
어.? 나 불렀어?
어 몇번이나 불렀는데 왜 무시해
무시하는게아니라 .못 들었어.미안해
아 맨날 못 듣는데 너 귀머거리냐 답답해 죽겠네
미안해 .
아 쫌 ! 아 됐다"
3373,협박 대화,"동생 이쁘던데?
내동생 어찌알어
소문났어 이쁘다고
내동생 근처에 얼씬도 마
그럼 내가 시키는대로 해
그건 곤란해
동생 생각해
제발 동생 건들지마
내가 시키는거 오늘까지 해
생각해볼께요"
3374,협박 대화,"내가 말잘들으라했지?
 하지만 약속을 안지키셨잖아요
 니까짓게 뭔데 그런걸따져 진짜 끝내줄까?
 죄송합니다.
 한번만 더 말 거역하거나 딴마음먹으면 바로 죽여줄게
 저희 어머니만은 풀어주시면 안될까요?
 닥쳐. 니 엄마가 신고안한다는 보장있어?
 약속드릴게요 아무한테도 발설안하겠습니다
 너같으면 믿을거같애? 한번만 더 말하면 죽여버린다
 죄송합니다 살려주세요"
3375,직장 내 괴롭힘 대화,"이부장 오라하게
전무님 부르셨습니까?
지난번 얘기한 영어프로젝트 어떻게 됐지?
기안작성후 시뮬레이션 중 입니다
지시한지가 언젠데 아직도야? 일을 어떻게 하는거야?
빨리 처리하도록 하겠습니다 
매사가 느려터져서 같이 일 할수 있겠어? 김부장 일하는거 반만 따라가라고
이부장님 부서 직원 서대리가 말을 잘 안듣는다고 합니다
쯧쯧. 아랫사람 하나 관리도 못하고 
죄송합니다"
3376,갈취 대화,"거기 지나가는 언니! 저희 담배좀 사다주시면 안돼요?
뭐야. 안되지. 너희 이러는 거 부모님이 아시니?
아이 부모님 타령 이지랄
.
우리가 살갑게 말해주니까 우리를 좃같게 보는 거야 뭐야? 야 정신차려. 너는 그냥 저기 편의점에서 담배만 사다주면 되는거에요 아줌마
너네. 그러면 안돼.!
뭐래. 야 얘들아 이 사람 몸좀 털어봐. 아줌마가 우리 말을 잘 들었으면 이럴 일도 없을 텐데. 우리가 어쩔 수 없이 돈을 좀 가져가야겠어.
너희 신고할거야.!
신고하기만 해봐. 이 아줌마 돈 많이 들고다니네
."
3377,갈취 대화,"너 길동이랑 어제 모텔에서 나오더라?
니 니가 그걸 어떻게?
우연히 지나가다봤어 능력도 좋다? 이미 애도 있으면서?
아아니야.너가 훨씬 능력좋지이거 말안해줄거지?
음 생각해보구? 근데 내가 사고싶은게 생겼거든
아 아하. 그렇구나.?
그래서말인데 그거 살 돈이 필요하거든 그것만 주면 입 싹 닫아줄게
어 얼만데?
900만원이야 너로써는 괜찮은 거래라고 생각하는데 맞지?
아 알겠어최대한 빨리 입금할게."
3378,기타 괴롭힘 대화,"저기 기사아저씨 제가 버스에 타야하는데 보시다 시피 휠체어 타고 있어서 리프트 좀 내려주시겠습니까?
아 네네 당연하죠 조금만 기다려 주세요. 이 버스가 낡아서 잘 작동 안 하거든요.
네네 내려주셔서 감사합니다.
아오 진짜 바빠 죽겠는데 여기서 왜 안 움직이는거야. 저기요 아저씨 왜 출발 안 해요?
아 지금 거동 불편하신 분이 휠체어 타고 계셔서 리프트 내려드려야 해요.
아니 다리 못 쓰면 나오지를 말아야지 지금 몇 명한테 피해를 주는거야?
피해드렸다면 죄송합니다. 평소에는 보호자가 있지만 오늘은 다 출근하고 저 혼자라서.
그니까 왜 보호자가 없는 날 나오냐고요. 사람들 피해주고 싶어서 작정했어요? 다른 사람들 다리로 걸어다녀서 심술나요? 왜 이런 날 방해하냐니까요
방해를 할 목적은 아니었으나. 이 리프트가 이렇게 늦게 내려올지는 몰랐어요. 죄송합니다. 근데 저 혹시 이 휠체어 버스에 고정 시키려면 그 의자 접어서 고정 시켜야 하는데 한 번만 더 양해 구해도 될까요?
아 이제 남의 자리까지 뺐겠다? 어쩌피 바퀴인데 차 뒤에 매달던가 트렁크에 넣어버리지 진짜 사람 성가시게 하네 그냥 그 상태로 앉아있으세요. 다리도 못 쓰는데 다쳐봤자 뭐 있겠어요?
진짜 죄송해요. 다음부터 이런 날 안나오도록 노력할게요."
3379,기타 괴롭힘 대화,"아가씨 우리랑 같이 놀까?
제가 막차가 얼마 안 남아서요. 죄송합니다.
에이 왜 그래 우리가 택시비 줄게
죄. 죄송합니다.
 얼굴 좀 반반하다고 빼네. 니가 그렇게 잘 났어? 그냥 좀 놀다 가자고.
꺄악!
여기서 네 목소리가 들리겠냐?
보내주세요.
자 여기서 이러지 말고 저기로 가자고.
엉엉."
3380,갈취 대화,"꼬마야 아저씨가 길을 잃었는데 지도에 표시된 부분이 어딘지 알려줄래?
네 알겠어요 따라오세요 이렇게 걸어가서 이렇게 걸어가면
야 얘들아 이 꼬마새끼 잡아
왜들 그러세요 이거 놔요
아들 무슨일이야
어머님이시구나 아드님이 지금 제 손안에 있는데
당신 누구야 원하는게 뭐야
아 별것 아니고 금전적으로 소박하게 1억이 필요하거든
대체 나한테 왜그러는데
아 아줌마가 돈이 많다는 소문을 들었거든 1억 껌값이잖아"
3381,직장 내 괴롭힘 대화,"희정씨는 참 성격이 꼼꼼한가봐?
네??
오전에 시킨거 아직도야?
아 마무리 단계입니다
아직도 마무리니?? 그렇게 굼벵이 같이 느려서 어쩔래
최대한 서두르겠습니다
아니 굼벵이가 서둘러봤자 굼벵이지 시킨 나만 애터지지
.죄송합니다
 누가 죄송하다는 말 듣재?? 서류나 빨리해와
. 서두르겠습니다"
